,review
0,"untuk earphone 10 ribuan worth it, kabelnya awet gak mudah putus, sering saya bawa keluar masih aman.
saat pertama kali pakai mungkin perlu adaptasi karena kualitas nya b... "
1,puaaas... thanks Kanan kiri berfungsi
2,"Barang sudah sampai, meskipun belum dibuka, biasanya di PINZY store gak pernah gagal. Recomended."
3,warna pas dibuka di dalamnya putih kan saya minta yg hitam
4,suaranya jernih semua berfungsi dengan normal
5,kualitas bagus tpi sayang pesenya hitam semua yg dateng hitam sama pink
6,barang sudah di terima dan berfungsi dengan baik
7,"Sesuai harga, kekurangannya cuma gk ada tanda 'R' atau 'L'"
8,biarkan bintang yg memberikan informasi ğŸ‘
9,G da barang ini dalam paket pesanan
10,Makasih barangNya Sudah Sampai ğŸ™
11,mantap banget dah aah aah aah
12,minta warna putih dan item malah di kasih kebanyakan pink
13,minta warna yg hijau di kirim ya pink..... LOL
14,Oke
15,ok.
16,TerimaKasih
17,"Tks gan barang sdh di terima, Sukses gan... "
18,"Siiiiiiiiiiip,,,, packing mantap,yg udh2 di toko lain cuma pakai plastik doang packingnya,cuma ini di kirim warna hitam semua,tp ydlh thanks kak "
19,Desainnya modern ğŸ˜.
20,"lumayan sesuai harga,, bass nya ga ada"
21,packing aman dan rapih.. berfungsi dngn baik.. smoga awett.. trimakasiihh
22,"pesen warna item, malah dikasi warna IJO tanpa konfirmasi...udah gt mati sebelah pula ğŸ™„, ya gak bisa buat dijual lagi klo cacat gini.

pesan pakai DUS XTRA tapi gak diki... "
23,minta hitam dikasih pink. kl mau kirim harap dicek dulu
24,"b aja sih..lumayan lah dgn harga segini, semua berfungsi dgn baik"
25,barang sudah sampai dan berfungsi dengan baik kemasan rapi dan kurirnya oke
26,ga stereo
27,barangnya ok
28,joss banget
29,berfungsi dengan baik  semoga awet
30,bagus suaranya
31,"harga murah kalo buat dengar musik sih oke .. tp kalo buat tlp, suara disekitar kita masih bisa ikut masuk ."
32,barang sesuai pesanan dan dlm kondisi baik. pakcing baik. pengiriman lumayan cepat
33,rwarna tidak seduai pesanan
34,lumayan
35,tidak sesuai warna yg di pesan
36,suaranya bagus
37,"+dual streo, 
+suara vokal n musik jelas, 
+kabel transparan, 
-tanpa sarung"
38,lumayan..
39,semoga cepat laku dan biza belanja lagi 
40,suranya oke jernih. bassnya juga baguss. penjual ramah. pengiriman cepat. ğŸ‘ğŸ»
41,bagus
42,"bass nya ok, lmyn dgn hrg segitu"
43,barang sesuai dengn pesannya bagus bagus tpi sayang ngepak nya kurang rapi .bungkus kemasannya pa pd rusak .
44,ini mantap juga suara nya
45,barang oke... 
46,lumayan  bagus . cuman respon sellernya lambat
